"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year"
"523900","Other financial investment activities",FALSE,"523",3,"PCU523---523---",2003
"524113","Direct life insurance carriers",FALSE,"524113",6,"PCU524113524113",1998
"5241XX","Insurance carriers, except direct life",FALSE,"524114",6,"PCU524114524114",2002
"5241XX","Insurance carriers, except direct life",FALSE,"52412",5,"PCU52412-52412-",1998
"5241XX","Insurance carriers, except direct life",FALSE,"5241",4,"PCU5241--5241--",2003
"524200","Insurance agencies, brokerages, and related activities",FALSE,"524",3,"PCU524---524---",2003
"532100","Automotive equipment rental and leasing",FALSE,"5321",4,"PCU5321--5321--",2001
"541100","Legal services",FALSE,"5411",4,"PCU5411--5411--",1996
"541300","Architectural, engineering, and related services",FALSE,"5413",4,"PCU5413--5413--",1996
"541610","Management consulting services",FALSE,"54161",5,"PCU54161-54161-",2006
"5416A0","Environmental and other technical consulting services",FALSE,"5416",4,"PCU5416--5416--",2006
"561300","Employment services",FALSE,"5613",4,"PCU5613--5613--",1996
"621100","Offices of physicians",FALSE,"6211",4,"PCU6211--6211--",1996
"621200","Offices of dentists",FALSE,"6212",4,"PCU6212--6212--",2010
"621500","Medical and diagnostic laboratories",FALSE,"6215",4,"PCU6215--6215--",2003
"621600","Home health care services",FALSE,"6216",4,"PCU6216--6216--",1996
"622000","Hospitals",FALSE,"622",3,"PCU622---622---",1992
"623A00","Nursing and community care facilities",FALSE,"6231",4,"PCU6231--6231--",2003
"713100","Amusement parks and arcades",FALSE,"7131",4,"PCU7131--7131--",2006
"721000","Accommodation",FALSE,"721",3,"PCU721---721---",1996
"811300","Commercial and industrial machinery and equipment repair and maintenance",FALSE,"8113",4,"PCU8113--8113--",2006
"491000","Postal service",FALSE,"491",3,"PCU491---491---",1972
